epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,21610,0.71158,0.41272,1.00992,0.90757,0.90288,0.94449,0.75353,0.71075,0.36068,1.05149,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21934.4,0.70257,0.40576,1.0068,0.9067,0.90614,0.94698,0.75448,0.70996,0.3599,1.05307,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,22258.9,0.70434,0.40816,1.01184,0.91051,0.9035,0.94636,0.75525,0.70799,0.35697,1.05275,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,22583.4,0.69816,0.40631,1.00676,0.90469,0.90763,0.94617,0.75547,0.70807,0.35655,1.05545,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,22910.7,0.70066,0.40398,1.00802,0.90683,0.90948,0.94581,0.75588,0.706,0.3573,1.05288,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,23235.5,0.69103,0.39764,1.0021,0.90527,0.91109,0.94586,0.75514,0.70469,0.35764,1.05266,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,23560.1,0.69177,0.39624,1.00424,0.90969,0.90793,0.94543,0.75535,0.7027,0.35738,1.05176,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23884.7,0.68588,0.39306,0.99984,0.91302,0.90387,0.94535,0.7557,0.70118,0.35658,1.05263,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,24209.1,0.68315,0.39144,0.99668,0.91013,0.90695,0.94517,0.75554,0.7017,0.35589,1.05289,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,24533.6,0.67147,0.38408,0.99095,0.90893,0.90985,0.94563,0.75584,0.70074,0.35551,1.05252,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,24858.1,0.67267,0.38503,0.99311,0.91101,0.90854,0.94577,0.75567,0.70022,0.35372,1.05373,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,25182.4,0.67125,0.38271,0.99675,0.90929,0.91027,0.9461,0.7562,0.69951,0.35205,1.05459,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,25506.7,0.66327,0.37907,0.99347,0.90757,0.91179,0.94487,0.75621,0.69922,0.35167,1.05538,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,25831,0.65976,0.37475,0.98712,0.90825,0.90966,0.94492,0.75614,0.6988,0.35099,1.05628,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,26154.9,0.6539,0.36936,0.9859,0.90971,0.908,0.94489,0.75598,0.69812,0.35083,1.05645,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,26478.8,0.65129,0.37033,0.98596,0.91095,0.90775,0.94478,0.75604,0.69674,0.35056,1.05641,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,26802.8,0.64842,0.36912,0.9856,0.91024,0.90831,0.94493,0.75692,0.69567,0.35124,1.0571,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,27127.1,0.64524,0.36398,0.98226,0.90853,0.90988,0.94449,0.75701,0.69444,0.35042,1.05623,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,27451.3,0.64165,0.36458,0.98083,0.90788,0.90892,0.94405,0.75705,0.69396,0.3508,1.05608,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,27775.4,0.63891,0.36237,0.98102,0.90692,0.91017,0.94409,0.75704,0.69313,0.35054,1.05521,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,28099.3,0.632,0.35942,0.97824,0.90653,0.91174,0.94415,0.75677,0.69215,0.35047,1.05496,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,28423.6,0.62675,0.35589,0.97563,0.9077,0.90956,0.94416,0.7567,0.69181,0.35048,1.0556,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,28747.6,0.62676,0.35372,0.97654,0.9071,0.91062,0.9442,0.757,0.69103,0.35054,1.05568,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,29071.6,0.62156,0.35028,0.97271,0.90888,0.90933,0.94361,0.75701,0.69018,0.35037,1.05528,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,29395.5,0.62015,0.35122,0.97227,0.90809,0.91093,0.94422,0.75666,0.68976,0.35088,1.05561,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,29726.8,0.57128,0.29367,0.93188,0.90978,0.91148,0.94436,0.75668,0.68925,0.35089,1.0559,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,30050.1,0.56044,0.28829,0.92161,0.90646,0.91346,0.94498,0.75659,0.68872,0.35049,1.05646,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,30373.5,0.55021,0.28175,0.92072,0.90673,0.91266,0.9441,0.75703,0.6881,0.34952,1.05712,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,30697.8,0.54751,0.27916,0.92,0.90862,0.91157,0.94492,0.7573,0.68746,0.34894,1.05743,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,31021.6,0.54273,0.2757,0.91709,0.90936,0.91112,0.94415,0.7574,0.68715,0.34877,1.05811,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,31345.3,0.53734,0.27176,0.91287,0.91009,0.91081,0.94434,0.75726,0.68642,0.34853,1.05833,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,31669,0.53052,0.26952,0.90978,0.91199,0.90881,0.94429,0.75755,0.686,0.34838,1.05898,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,31992.4,0.52504,0.2655,0.90735,0.91086,0.91004,0.94435,0.75776,0.68569,0.34817,1.05957,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,32316,0.5221,0.26439,0.9055,0.9128,0.90833,0.94363,0.75778,0.6854,0.34808,1.06035,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,32639,0.51902,0.26223,0.90396,0.9124,0.90919,0.94354,0.75738,0.68515,0.34801,1.06087,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
