epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,13668.3,0.79446,0.45496,0.9434,0.89241,0.89161,0.94732,0.73245,0.82715,0.42968,0.9608,0.000241,0.000241,0.000241
117,13768.7,0.79656,0.45419,0.94359,0.89735,0.89096,0.94805,0.73274,0.82654,0.42926,0.96035,0.0002344,0.0002344,0.0002344
118,13866.9,0.78972,0.45248,0.94193,0.89891,0.88926,0.94808,0.73199,0.82571,0.42878,0.96061,0.0002278,0.0002278,0.0002278
119,13965.3,0.79326,0.44984,0.94138,0.89585,0.88914,0.94744,0.73123,0.82569,0.42894,0.96073,0.0002212,0.0002212,0.0002212
120,14063.9,0.78688,0.44952,0.94219,0.89687,0.88629,0.94704,0.73235,0.82486,0.42826,0.96051,0.0002146,0.0002146,0.0002146
121,14161.6,0.78269,0.44547,0.93698,0.89553,0.89157,0.94713,0.73221,0.82427,0.42744,0.9599,0.000208,0.000208,0.000208
122,14261.2,0.7894,0.4513,0.94211,0.89596,0.89033,0.94742,0.73279,0.82323,0.42682,0.95962,0.0002014,0.0002014,0.0002014
123,14359.5,0.78367,0.44702,0.93961,0.8958,0.88755,0.94713,0.73169,0.82265,0.42685,0.9592,0.0001948,0.0001948,0.0001948
124,14460.9,0.78524,0.44844,0.93828,0.89556,0.89107,0.94697,0.73247,0.82162,0.42656,0.95889,0.0001882,0.0001882,0.0001882
125,14559.7,0.78204,0.44513,0.93796,0.899,0.88538,0.94694,0.73257,0.82105,0.42639,0.95874,0.0001816,0.0001816,0.0001816
126,14659.4,0.78492,0.44488,0.94172,0.89601,0.88972,0.94681,0.73182,0.82023,0.42606,0.95853,0.000175,0.000175,0.000175
127,14757.7,0.7775,0.44047,0.93489,0.89874,0.88649,0.94706,0.73202,0.81942,0.4259,0.95809,0.0001684,0.0001684,0.0001684
128,14857.4,0.77745,0.44436,0.93905,0.89093,0.89241,0.94733,0.73291,0.81848,0.42573,0.95768,0.0001618,0.0001618,0.0001618
129,14955.2,0.77475,0.43857,0.93668,0.88628,0.89615,0.94662,0.73269,0.81789,0.42477,0.9573,0.0001552,0.0001552,0.0001552
130,15053.6,0.77308,0.43961,0.93364,0.88402,0.89806,0.94691,0.732,0.81732,0.42471,0.95672,0.0001486,0.0001486,0.0001486
131,15151.5,0.77028,0.43535,0.93428,0.89264,0.88754,0.94683,0.73306,0.81665,0.42416,0.95637,0.000142,0.000142,0.000142
132,15250.6,0.77196,0.43777,0.93423,0.89915,0.88253,0.94679,0.73447,0.81622,0.42368,0.95636,0.0001354,0.0001354,0.0001354
133,15350.1,0.77089,0.4396,0.93655,0.89922,0.88332,0.94589,0.73427,0.81559,0.42308,0.95652,0.0001288,0.0001288,0.0001288
134,15448.8,0.76419,0.43557,0.9328,0.89624,0.88452,0.94597,0.73467,0.81495,0.42269,0.95649,0.0001222,0.0001222,0.0001222
135,15547.9,0.77053,0.43723,0.93459,0.89876,0.88042,0.94521,0.73451,0.81389,0.42242,0.95609,0.0001156,0.0001156,0.0001156
136,15646.5,0.76763,0.43293,0.93339,0.90024,0.88065,0.94613,0.73456,0.81328,0.42231,0.95576,0.000109,0.000109,0.000109
137,15744.2,0.75989,0.42932,0.9306,0.89583,0.88724,0.94625,0.73486,0.81214,0.4214,0.95511,0.0001024,0.0001024,0.0001024
138,15842.9,0.76066,0.42902,0.93236,0.89575,0.88781,0.9458,0.73443,0.8112,0.42096,0.95494,9.58e-05,9.58e-05,9.58e-05
139,15942.2,0.75893,0.42575,0.928,0.8975,0.88621,0.946,0.73487,0.81112,0.42097,0.95495,8.92e-05,8.92e-05,8.92e-05
140,16040.9,0.76056,0.42821,0.9295,0.89953,0.88505,0.94601,0.73453,0.8108,0.42027,0.95474,8.26e-05,8.26e-05,8.26e-05
141,16144.6,0.6947,0.35384,0.90151,0.89226,0.8931,0.94608,0.73368,0.81107,0.42088,0.95504,7.6e-05,7.6e-05,7.6e-05
142,16234.8,0.68582,0.34769,0.89744,0.88816,0.89665,0.94589,0.7331,0.81058,0.42023,0.95501,6.94e-05,6.94e-05,6.94e-05
143,16324.3,0.67978,0.34287,0.89756,0.88517,0.89769,0.94592,0.7325,0.81025,0.42024,0.95507,6.28e-05,6.28e-05,6.28e-05
144,16413.6,0.67906,0.34562,0.89816,0.88561,0.89665,0.94568,0.73308,0.80982,0.42052,0.95511,5.62e-05,5.62e-05,5.62e-05
145,16502.7,0.6746,0.34291,0.89592,0.88886,0.89579,0.94571,0.73303,0.8094,0.42078,0.95516,4.96e-05,4.96e-05,4.96e-05
146,16592.4,0.67331,0.3406,0.89505,0.89185,0.89413,0.94562,0.73237,0.80904,0.42129,0.95516,4.3e-05,4.3e-05,4.3e-05
147,16681.8,0.67299,0.3416,0.89468,0.89409,0.89263,0.94554,0.73212,0.80862,0.42114,0.95501,3.64e-05,3.64e-05,3.64e-05
148,16770.9,0.67292,0.3398,0.89449,0.89528,0.8903,0.94532,0.73153,0.80816,0.42095,0.9548,2.98e-05,2.98e-05,2.98e-05
149,16861.1,0.6704,0.33936,0.8946,0.8954,0.88742,0.94505,0.73211,0.80788,0.42089,0.95484,2.32e-05,2.32e-05,2.32e-05
150,16950.3,0.66753,0.33742,0.89462,0.89597,0.88623,0.94506,0.7317,0.8076,0.42086,0.95484,1.66e-05,1.66e-05,1.66e-05
